IATA	ICAO	JapaneseName	EnglishName	Country	City
MCC	KMCC	M c C lellan Airfield アメリカ サクラメント			
MCD	KMCD	M ackinac Island Airport アメリカ			
MCE	KMCE	M erced M unicipal Airport ( M acready Field) アメリカ マーセド			
MCF	KMCF	M acDill Air Force Base アメリカ タンパ			
MCG	PAMC	M cGrath Airport アメリカ			
MCH	SEMH	General Serrano Airport ( M achala Airport) エクアドル			
MCI	KMCI	カンザスシティ国際空港 Kansas C ity International Airport アメリカ カンザスシティ			
MCJ	SKLM	Jorge Isaacs Airport (La M ina Airport) コロンビア			
MCK	KMCK	M c C ook Regional Airport アメリカ			
MCL	PAIN	M cKinley National Park Airport (FAA: INR) アメリカ			
MCM	LNMC	M onaco Heliport モナコ			
MCN	KMCN	M iddle Georgia Regional Airport アメリカ			
MCO	KMCO	オーランド国際空港 Orlando International Airport アメリカ オーランド			
MCP	SBMQ	M acapá International Airport ブラジル			
MCQ	LHMC	M iskolc Airport ハンガリー			
MCR	MGMM	M elchor de M encos Airport グアテマラ			
MCS	SARM	M onte C aseros Airport アルゼンチン			
MCT	OOMS	マスカット国際空港 M uscat International Airport オマーン マスカット			
MCU	LFBK		M ontluçon	M ontluçon	Guéret Airport フランス
MCV	YMHU	M cArthur River Airport オーストラリア			
MCW	KMCW	M ason C ity M unicipal Airport アメリカ			
MCX	URML	Uytash Airport ロシア			
MCY	YBSU	Sunshine C oast Airport オーストラリア			
MCZ	SBMO	Zumbi dos Palmares Airport ブラジル マセイオ			
MDA	KMDA	M artindale Army Heliport (former M artindale AAF) アメリカ			
MDB		M elinda Airport ベリーズ			
MDC	WAMM	サム・ラトゥランギ空港 Sam Ratulangi International Airport インドネシア マナド			
MDD	KMDD	M idland Airpark アメリカ			
MDE	SKRG	José M aría Córdova International Airport コロンビア メデジン			
MDF	KMDZ	Taylor County Airport アメリカ			
MDG	ZYMD	M udanjiang Airport 中国			
MDH	KMDH	Southern Illinois Airport アメリカ			
MDI	DNMK	M akurdi Airport ナイジェリア			
MDJ		M adras M unicipal Airport (FAA: S33) アメリカ マドラス			
MDK	FZEA	M bandaka Airport コンゴ民主共和国			
MDL	VYMD	マンダレー国際空港 M andalay International Airport ミャンマー マンダレー			
MDM		M unduku Airport パプアニューギニア			
MDN	KIMS	M adison M unicipal Airport アメリカ マディソン			
MDO	PAMD	M iddleton Island Airport アメリカ			
MDP	WAKD	M indiptana Airport インドネシア			
MDQ	SAZM	Astor Piazzolla International Airport アルゼンチン マル・デル・プラタ			
MDS	MBMC		M iddle Caicos Airport		
MDT	KMDT	ハリスバーグ国際空港 Harrisburg International Airport アメリカ ハリスバーグ			
MDU	AYMN	M endi Airport パプアニューギニア			
MDV		M édouneu Airport ガボン			
MDW	KMDW	シカゴ・ミッドウェー国際空港 Chicago M idway International Airport アメリカ シカゴ			
MDX	SATM	M ercedes Airport アルゼンチン			
MDY	PMDY	Henderson Field アメリカ			
MDZ	SAME	Gov. Francisco Gabrielli International Airport (El Plumerillo) アルゼンチン メンドーサ			
MEA	SBME	M acaé Airport ブラジル			
MEB	YMEN	E ssendon Airport オーストラリア メルボルン			
MEC	SEMT	E loy Alfaro International Airport エクアドル マンタ			
MED	OEMA	Prince M ohammad Bin Abdulaziz Airport サウジアラビア			
MEE	NWWR	M aré Airport ニューカレドニア マレ島			
MEF		M elfi Airport チャド			
MEG	FNMA	M alange Airport アンゴラ			
MEH	ENMH	M ehamn Airport ノルウェー			
MEI	KMEI	メリディアン空港 M eridian Regional Airport アメリカ メリディアン			
MEJ	KGKJ	Port M eadville Airport (FAA: GKJ) アメリカ			
MEL	YMML	メルボルン空港 M elbourne Airport オーストラリア メルボルン			
MEM	KMEM	メンフィス国際空港 M emphis International Airport アメリカ メンフィス			
MEN	LFNB	Brenoux Airport フランス			
MEO	KMQI	Dare County Regional Airport (FAA: M QI) アメリカ			
MEP	WMAU	M ersing Airport マレーシア			
MEQ	WITC	Cut Nyak Dhien Airport インドネシア			
MER	KMER	Castle Airport アメリカ アトウォーター			
MES	WIMK	スウォンド空軍基地 Soewondo Air Force Base インドネシア			
MET	YMOT	M oreton Airport オーストラリア			
MEU	SBMD	M onte Dourado Airport ブラジル			
MEV	KMEV	ミンデン・タホ空港 M inden-Tahoe Airport アメリカ ミンデン			
MEW	FZVM	M weka Airport コンゴ民主共和国			
MEX	MMMX	メキシコ・シティ国際空港 M exico City International Airport メキシコ メキシコシティ			
MEY	VNMG	M eghauli Airport ネパール			
MEZ	FAMS	M essina Airport 南アフリカ			
MFA	HTMA	M afia Island Airport タンザニア			
MFB		M onfort Airport コロンビア			
MFC	FXMF	M afeteng Airport レソト			
MFD	KMFD	M ansfield Lahm Regional Airport アメリカ			
MFE	KMFE	マッカレン・ミラー国際空港 M cAllen- M iller International Airport アメリカ マッカレン			
MFF	FOOD	M oanda Airport ガボン			
MFG	OPMF	M uzaffarabad Airport パキスタン			
MFH		メスキート空港 M esquite Airport アメリカ メスキート			
MFI	KMFI	M arshfield M unicipal Airport アメリカ			
MFJ	NFMO	M oala Airport フィジー			
MFM	VMMC	マカオ国際空港 M acau International Airport 中国 マカオ			
MFN	NZMF	M ilford Sound Airport ニュージーランド			
MFO		M anguna Airport パプアニューギニア			
MFQ	DRRM	M aradi Airport ニジェール			
MFR	KMFR	ローグバレー・インターナショナル・メドフォード空港 Rogue Valley International- M edford Airport アメリカ メドフォード			
MFS	SKMF	M iraflores Airport コロンビア			
MFU	FLMF	M fuwe Airport ザンビア			
MFV	KMFV	Accomack County Airport アメリカ			
MFW		M agaruque Airport モザンビーク			
MFX	LFKX	M eribel Airport フランス			
MFY		M ayfa'ah Airport イエメン			
MFZ		M esalia Airport パプアニューギニア			
MGA	MNMG	マナグア国際空港 Augusto C. Sandino International Airport ニカラグア マナグア			
MGB	YMTG	M ount G ambier Airport オーストラリア			
MGC	KMGC	M ichigan City M unicipal Airport アメリカ			
MGD	SLMG	M agdalena Airport ボリビア			
MGE	KMGE	Dobbins Air Reserve Base (NAS Atlanta) アメリカ			
MGF	SBMG		M aringá	M aringá	Sílvio Name Júnior Regional Airport ブラジル
MGG		M argarima Airport パプアニューギニア			
MGH	FAMG	M argate Airport 南アフリカ			
MGJ	KMGJ	Orange County Airport アメリカ モンゴメリー			
MGK	VYMT	M ong Tong Airport ミャンマー			
MGL	EDLN	Düsseldorf- M önchengladbach Airport ドイツ			
MGM	KMGM	モンゴメリー地域空港 M ontgomery Regional Airport (Dannelly Field) アメリカ モンゴメリー			
MGN	SKMG	Baracoa Airport コロンビア			
MGP		M anga Airport パプアニューギニア			
MGQ	HCMM	アデン・アッデ国際空港 Aden Adde International Airport ソマリア モガディシュ			
MGR	KMGR	M oultrie M unicipal Airport アメリカ			
MGS	NCMG	マンガイア空港 M angaia Airport クック諸島 マンガイア			
MGT	YMGB	M ilingimbi Airport オーストラリア			
MGV	YMGT	M argaret River Airport オーストラリア			
MGW	KMGW	M organtown M unicipal Airport (Walter L. Bill Hart Field) アメリカ			
MGX	FOGI	M oabi Airport ガボン			
MGY	KMGY	Dayton-Wright Brothers Airport アメリカ			
MGZ	VYME	M yeik Airport ミャンマー			
MHA	SYMD	M ahdia Airport ガイアナ			
MHC	SCPQ	モコプリ空港 M ocopulli Airport チリ ダルアウェ			
MHD	OIMM	M ashhad International Airport (Shahid H ashemi Nejad Airport) イラン			
MHE	KMHE	M itchell M unicipal Airport アメリカ			
MHF		M orichal Airport コロンビア			
MHG	EDFM	M annheim City Airport ドイツ			
MHH	MYAM	M arsh H arbour Airport バハマ			
MHI	HDMO	M oucha Airport ジブチ			
MHJ		M israk Gashamo Airport エチオピア			
MHK	KMHK	M anhattan Regional Airport アメリカ			
MHL	KMHL	M arshall M emorial M unicipal Airport アメリカ			
MHM	PAMH	M inchumina Airport アメリカ			
MHN	KMHN	H ooker County Airport アメリカ			
MHO	YMHO	M ount H ouse Airport オーストラリア			
MHP	UMMM	M insk-1 Airport ベラルーシ ミンスク			
MHQ	EFMA	マリエハムン空港 M ariehamn Airport フィンランド マリエハムン			
MHR	KMHR	Sacramento M ather Airport アメリカ サクラメント			
MHT	KMHT	マンチェスター・ボストン地域空港 M anchester-Boston Regional Airport アメリカ マンチェスター			
MHU	YHOT	M ount H otham Airport オーストラリア			
MHV	KMHV	モハーヴェ空港 M ojave Airport アメリカ モハーヴェ			
MHX	NCMH	マニヒキ空港 M anihiki Island Airport クック諸島 マニヒキ			
MHY		M orehead Airport パプアニューギニア			
MHZ	EGUN	RAF M ildenhall イギリス			
MIA	KMIA	マイアミ国際空港 M iami I nternational Airport アメリカ マイアミ			
MIB	KMIB	M inot Air Force Base アメリカ			
MIC	KMIC	Crystal Airport アメリカ ミネアポリス			
MID	MMMD	メリダ国際空港 M érida I nternational Airport メキシコ メリダ			
MIE	KMIE	Delaware County Airport (Johnson Field) アメリカ			
MIF		Roy Hurd M emorial Airport (FAA: E01) アメリカ			
MIG	ZUMY	M ianyang Nanjiao Airport 中国			
MIH	YMIP	M itchell Plateau Airport オーストラリア			
MII	SBML	M arília Airport ブラジル			
MIJ		キリ空港 Kili Airport マーシャル諸島 キリ島			
MIK	EFMI	M ikkeli Airport フィンランド			
MIM	YMER	M erimbula Airport オーストラリア			
MIN	YMPA	M innipa Airport オーストラリア			
MIO	KMIO	M iami M unicipal Airport アメリカ マイアミ			
MIP	LLMR	M itzpe Ramon Airfield イスラエル			
MIQ	KMLE	M illard Airport (FAA: M LE) アメリカ オマハ			
MIR	DTMB	M onastir Habib Bourguiba I nternational Airport チュニジア			
MIS	AYMS	M isima I sland Airport パプアニューギニア			
MIT	KMIT	シャフター空港 Shafter Airport アメリカ シャフター			
MIU	DNMA	M aiduguri I nternational Airport ナイジェリア			
MIV	KMIV	M illville M unicipal Airport アメリカ			
MIW	KMIW	M arshalltown M unicipal Airport アメリカ			
MIX		M iriti Airport コロンビア			
MJA	FMSJ	M anja Airport マダガスカル			
MJB		M ejit Airport (FAA: Q30) マーシャル諸島			
MJC	DIMN	M an Airport コートジボワール			
MJD	OPMJ	M oenjodaro Airport パキスタン			
MJE		M ajkin Airport マーシャル諸島			
MJF	ENMS	M osjøen Airport, Kjærstad ノルウェー			
MJG	MUMJ	M ayajigua Airport キューバ			
MJI	HLLM	ミティガ国際空港 M itiga International Airport リビア トリポリ			
MJJ		M oki Airport パプアニューギニア			
MJK	YSHK	Shark Bay Airport オーストラリア			
MJL	FOGM	M ouila Airport ガボン			
MJM	FZWA	M buji M ayi Airport コンゴ民主共和国			
MJN	FMNM	Amborovy Airport (Philibert Tsiranana Airport) マダガスカル			
MJP	YMJM	M anjimup Airport オーストラリア			
MJQ	KMJQ	J ackson M unicipal Airport アメリカ			
MJR		M iramar Airport アルゼンチン			
MJT	LGMT	ミティリーニ国際空港 M ytilene International Airport ギリシャ ミティリーニ			
MJU	WAAJ	M amuju Airport インドネシア			
MJV	LELC	M urcia-San J avier Airport スペイン			
MJX	KMJX	Robert J . M iller Air Park アメリカ			
MJZ	UERR	M irny Airport ロシア			
MKA	LKMR	マリアーンスケー・ラーズニェ M ariánské Lázně Airport チェコ マリアーンスケー・ラーズニェ			
MKB	FOOE	M ekambo Airport ガボン			
MKC	KMKC	K ansas City Downtown Airport (Charles B. Wheeler Downtown Airport) アメリカ カンザスシティ			
MKD		Chagni Airport エチオピア			
MKE	KMKE	ジェネラル・ミッチェル国際空港 General M itchell International Airport アメリカ ミルウォーキー			
MKG	KMKG	M uskegon County Airport アメリカ			
MKH	FXMK	M okhotlong Airport レソト			
MKI	FEGE	M 'Boki Airport 中央アフリカ			
MKJ	FCOM	M akoua Airport コンゴ民主共和国			
MKK	PHMK	モロカイ空港 M olokai Airport アメリカ モロカイ			
MKL	KMKL	M c K ellar-Sipes Regional Airport アメリカ			
MKM	WBGK	M ukah Airport マレーシア			
MKN		M alekolon Airport パプアニューギニア			
MKO	KMKO	Davis Field アメリカ			
MKP	NTGM	M akemo Airport フランス領ポリネシア			
MKQ	WAKK	モパ空港 M opah Airport インドネシア メラウケ			
MKR	YMEK	M eekatharra Airport オーストラリア			
MKS	HAMA	M ekane Selam Airport エチオピア			
MKT	KMKT	M ankato Regional Airport アメリカ			
MKU	FOOK	M akokou Airport ガボン			
MKV	YMVG	M ount Cavenagh Airport オーストラリア			
MKW	WASR	Rendani Airport インドネシア			
MKX		M ukalla Airport イエメン			
MKY	YBMK	M ackay Airport オーストラリア			
MKZ	WMKM	M alacca International Airport マレーシア			
MLA	LMML	マルタ国際空港 L uqa Airport マルタ マルタ島ルア			
MLB	KMLB	メルボルン国際空港（フロリダ州） M elbourne International Airport アメリカ メルボルン			
MLC	KMLC	M cAlester Regional Airport アメリカ			
MLD	KMLD	M alad City Airport アメリカ			
MLE	VRMM	ヴェラナ国際空港 Velana International Airport モルディブ マレ			
MLF	KMLF	M ilford M unicipal Airport (Ben and Judy Briscoe Field) アメリカ			
MLG	WARA	Abdul Rachman Saleh Airport インドネシア			
MLH	LFSB	EuroAirport Basel- M ulhouse-Freiburg フランス			
MLI	KMLI	クワッド・シティ国際空港 Quad City International Airport アメリカ モリン			
MLJ	KMLJ	Baldwin County Airport アメリカ			
MLL	PADM	M arshall Don Hunter Sr. Airport (FAA: M D M ) アメリカ			
MLM	MMMM	モレリア国際空港 M orelia International Airport メキシコ モレリア			
MLN	GEML		M elilla Airport		
MLO	LGML	M ilos Island National Airport ギリシャ			
MLP	RPMM	M alabang Airport フィリピン			
MLR	YMCT	M illicent Airport オーストラリア			
MLS	KMLS	M iles City M unicipal Airport (Frank Wiley Field) アメリカ			
MLT	KMLT	M illinocket M unicipal Airport アメリカ			
MLU	KMLU	モンロー空港 M onroe Regional Airport アメリカ モンロー			
MLV	YMEU	M erluna Airport オーストラリア			
MLW	GLMR	Spriggs Payne Airport リベリア			
MLX	LTAT	Erhac Airport トルコ			
MLY	PAML	M anley Hot Springs Airport アメリカ			
MLZ	SUMO	Cerro L argo International Airport ウルグアイ			
MMB	RJCM	女満別空港 M emanbetsu Airport 日本 女満別・網走			
MMC	MMDM	Ciudad M ante Airport メキシコ			
MMD	ROMD	南大東空港 M inami-Daito Airport 日本 南大東			
MME	EGNV	Durham Tees Valley Airport イギリス			
MMF	FKKF	M amfe Airport カメルーン			
MMG	YMOG	M ount M agnet Airport オーストラリア			
MMH	KMMH	マンモス・ヨセミテ空港 M ammoth Yosemite Airport アメリカ マンモス・レイクス			
MMI	KMMI	M c M inn County Airport アメリカ アテネ			
MMJ	RJAF	松本空港 M atsumoto Airport 日本 松本			
MMK	ULMM	M urmansk Airport ロシア			
MML	KMML	Southwest M innesota Regional Airport ( M arshall/Ryan Field) アメリカ			
MMM	YMMU	M iddlemount Airport オーストラリア			
MMO	GVMA	M aio Airport カーボベルデ			
MMP	SKIO	M ompóx Airport (Cicuco Airport) コロンビア			
MMQ	FLBA	M bala Airport ザンビア			
MMS	KMMS	Selfs Airport アメリカ			
MMT	KMMT	M cEntire Air National Guard Station アメリカ			
MMU	KMMU	M orristown M unicipal Airport アメリカ			
MMW		M oma Airport モザンビーク			
MMX	ESMS	マルメ空港 M almö-Sturup Airport スウェーデン マルメ			
MMY	ROMY	宮古空港 M iyako Airport 日本 宮古島			
MMZ	OAMN	M aymana Airport アフガニスタン			
MNA	WAMN	M elangguane Airport インドネシア			
MNB	FZAG	M uanda Airport ( M oanda Airport) コンゴ民主共和国			
MNC	FQNC	N acala Airport モザンビーク			
MNE	YMUG	M ungeranie Airport オーストラリア			
MNF	NFMA	M ana Island Airport フィジー			
MNG	YMGD	M aningrida Airport オーストラリア			
MNI	TRPG	John A. Osborne Airport (formerly Gerald's Airport) イギリス			
MNJ	FMSM	M ananjary Airport マダガスカル			
MNK	NGMA	M aiana Airport キリバス			
MNL	RPLL	ニノイ・アキノ国際空港 N inoy Aquino International Airport フィリピン マニラ			
MNM	KMNM	M enominee- M arinette Twin County Airport アメリカ			
MNN	KMNN	M arion M unicipal Airport アメリカ			
MNO	FZRA	M anono Airport コンゴ民主共和国			
MNQ	YMTO	M onto Airport オーストラリア			
MNR	FLMG	M ongu Airport ザンビア			
MNS	FLMA	M ansa Airport ザンビア			
MNT		M into Al Wright Airport (FAA: 51Z) アメリカ			
MNU	VYMM	M awlamyaing Airport ミャンマー			
MNW	YMDS	M acdonald Downs Airport オーストラリア			
MNX	SBMY	M anicoré Airport ブラジル			
MNY	AGGO	M ono Airport ソロモン諸島			
MNZ	KHEF	M anassas Regional Airport (FAA: HEF) アメリカ			
MOA	MUMO	O restes Acosta Airport キューバ			
MOB	KMOB	モービル空港 M obile Regional Airport アメリカ モービル			
MOC	SBMK	M ontes Claros Airport ブラジル			
MOD	KMOD	M odesto City-County Airport (Harry Sham Field) アメリカ モデスト			
MOE	VYMO	M omeik Airport ミャンマー			
MOF	WATC	ワイ・オティ空港 Wai O ti Airport インドネシア マウメレ			
MOG	VYMS	M ong Hsat Airport ミャンマー			
MOH	VEMN	M ohanbari Airport インド			
MOI	NCMR	ミチアロ空港 M itiaro Airport クック諸島 ミチアロ			
MOJ	MEMO	M oengo Airport スリナム			
MOK		M ankono Airport コートジボワール			
MOL	ENML	モルデ空港 M olde Airport ノルウェー モルデ			
MOM	GQNL	Letfotar Airport モーリタニア			
MON	NZMN	マウントクック空港 M ount Cook Airport ニュージーランド マウントクック			
MOO	YOOM	M oomba Airport オーストラリア			
MOP	KMOP	M ount Pleasant M unicipal Airport アメリカ			
MOR	KMOR	M oore- M urrell Airport アメリカ			
MOT	KMOT	M inot International Airport アメリカ			
MOU	PAMO	M ountain Village Airport アメリカ			
MOV	YMRB	M oranbah Airport オーストラリア			
MOX	KMOX	M orris M unicipal Airport アメリカ			
MOY		M onterrey Airport コロンビア			
MOZ	NTTM	M oorea Airport (Temae Airport) フランス領ポリネシア			
MPA	FYKM	Katima M ulilo Airport ( M pacha Airport) ナミビア			
MPB		M iami Seaplane Base (FAA: X44) アメリカ			
MPC	WIPU	M uko- M uko Airport インドネシア			
MPD	OPMP	Sindhri Tharparkar Airport ( M irpur Khas Airport) パキスタン			
MPF		M apoda Airport パプアニューギニア			
MPG		M akini Airport パプアニューギニア			
MPH	RPVE	ゴドフレド・P・ラモス空港 Godofredo P . Ramos Airport フィリピン マライ			
MPI		M amitupo Airport パナマ			
MPJ	KMPJ	P etit Jean P ark Airport アメリカ			
MPK	RKJM	木浦空港 M okpo Airport 韓国			
MPL	LFMT	モンペリエ・メディトゥラネ空港 M ontpellier– M éditerranée Airport フランス モンペリエ			
MPM	FQMA	マプト国際空港 M aputo International Airport モザンビーク マプト			
MPN	EGYP		RAF M ount P leasant		
MPO	KMPO	P ocono M ountains M unicipal Airport アメリカ			
MPP		M ulatupo Airport パナマ			
MPQ	OJMN	M a'an Airport ヨルダン			
MPR	KMPR	M c P herson Airport アメリカ			
MPT	WPMN	M aliana Airport 東ティモール			
MPU		M apua Airport パプアニューギニア			
MPV	KMPV	Edward F. Knapp State Airport アメリカ			
MPW	UKCM	マリウポリ国際空港 M ariupol International Airport ウクライナ マリウポリ			
MPX		M iyanmin Airport パプアニューギニア			
MPY	SOOA		M aripasoula Airport		
MPZ	KMPZ	M ount P leasant M unicipal Airport アメリカ			
MQA	YMDI	M andora Station Airport オーストラリア			
MQB	KMQB	M acomb M unicipal Airport アメリカ			
MQC	LFVM		M iquelon Airport		
MQD	SAVQ	M aquinchao Airport アルゼンチン			
MQF	USCM	M agnitogorsk Airport ロシア			
MQH	SBMC	M inaçu Airport ブラジル			
MQL	YMIA	M ildura Airport オーストラリア			
MQM	LTCR	M ardin Airport トルコ			
MQN	ENRA	M o i Rana Airport, Røssvoll ノルウェー			
MQP	FAKN	Kruger M pumalanga International Airport 南アフリカ			
MQQ	FTTD	M oundou Airport チャド			
MQS	TVSM	M ustique Airport セントビンセントおよびグレナディーン諸島の空港			
MQT	KSAW	ソーヤー国際空港 Sawyer International Airport アメリカ マーケット			
MQU	SKQU	M ariquita Airport コロンビア			
MQW	KMQW	Telfair-Wheeler Airport アメリカ			
MQX	HAMK	Alula Aba Nega Airport ( M akale Airport) エチオピア			
MQY	KMQY	Smyrna Airport アメリカ			
MRA		M israta Airport リビア			
MRB	KMRB	Eastern WV R egional Airport (Shepherd Field) アメリカ			
MRC	KMRC	M aury County Airport アメリカ			
MRD	SVMD	Alberto Carnevalli Airport ベネズエラ メリダ			
MRE		M ara Serena Airport ( M ara Lodges Airport) ケニア			
MRF	KMRF	M arfa M unicipal Airport アメリカ			
MRG	YMBA	M areeba Airport オーストラリア			
MRI	PAMR	M errill Field アメリカ			
MRJ	MHMA	M arcala Airport ホンジュラス			
MRK	KMKY	M arco Island Airport (FAA: M KY) アメリカ			
MRM		M anare Airport パプアニューギニア			
MRN	KMRN	Foothills R egional Airport (was M organton-Lenoir Airport) アメリカ			
MRO	NZMS	Hood Aerodrome ニュージーランド			
MRP	YALA	M arla Airport オーストラリア			
MRQ	RPUW	マリンドゥケ空港 M arinduque Airport フィリピン ガサン			
MRR	SEMA	José M aría Velasco Ibarra Airport エクアドル			
MRS	LFML	マルセイユ・プロヴァンス空港 M arseille Provence Airport フランス マルセイユ			
MRT		M oroak Airport オーストラリア			
MRU	FIMP	サー・シウサガル・ラングーラム国際空港 Sir Seewoosagur R amgoolam International Airport モーリシャス ポートルイス			
MRV	URMM	M ineralnye Vody Airport ロシア			
MRW	EKMB	ロラン・ファルスター空港 Lolland Falster Airport デンマーク ロラン島			
MRX	OIAM	M ahshahr Airport イラン			
MRY	KMRY	モントレー空港 M onterey R egional Airport アメリカ モントレー			
MRZ	YMOR	M oree Airport オーストラリア			
MSA	CZMD	M uskrat Dam Airport カナダ			
MSB		M arigot S eaplane Base グアドループ			
MSC	KFFZ	Falcon Field Airport (FAA: FFZ) アメリカ			
MSD		M ount Pleasant Airport (FAA: 43U) アメリカ			
MSE	EGMH	Kent International Airport イギリス			
MSF	YMNS	M ount S wan Airport オーストラリア			
MSH	OOMA	M asirah Air Base オマーン			
MSJ	RJSM	三沢空港 M isawa Airport 日本 三沢			
MSL	KMSL	Northwest Alabama Regional Airport アメリカ			
MSM	FZCV	M asi M animba Airport コンゴ民主共和国			
MSN	KMSN	デーン・カウンティ・リージョナル空港 Dane County Regional Airport アメリカ マディソン			
MSO	KMSO	ミズーラ国際空港 M issoula International Airport アメリカ ミズーラ			
MSP	KMSP	ミネアポリス・セントポール国際空港 M inneapolis- S aint Paul International Airport アメリカ ミネアポリス,セントポール			
MSQ	UMMS	ミンスク第2空港 M insk International Airport ベラルーシ ミンスク			
MSR	LTCK	M uş Airport トルコ			
MSS	KMSS	M assena International Airport (Richards Field Airport) アメリカ マッシーナ			
MST	EHBK	M aastricht Aachen Airport オランダ マーストリヒト			
MSU	FXMM	モショエショエ1世国際空港 M oshoeshoe I International Airport レソト マセル			
MSV	KMSV	S ullivan County International Airport アメリカ モンティセロ			
MSW	HHMS	M assawa International Airport エリトリア			
MSX	FCMM	M ossendjo Airport コンゴ民主共和国			
MSY	KMSY	ルイ・アームストロング・ニューオーリンズ国際空港 Louis Armstrong New Orleans International Airport アメリカ ニューオーリンズ			
MSZ	FNMO	Namibe Airport アンゴラ			
MTA	NZMA	M atamata Airport ニュージーランド			
MTB	SKML	M onte Libano Airport コロンビア			
MTC	KMTC	Selfridge Air National Guard Base アメリカ			
MTE	SNMA	M onte Alegre Airport ブラジル			
MTF	HAMT	M izan T eferi Airport エチオピア			
MTG		M ato Grosso Airport ブラジル			
MTH	KMTH	Florida Keys M arathon Airport アメリカ			
MTI	GVMT	M osteiros Airport カーボベルデ			
MTJ	KMTJ	モントローズ空港 M ontrose Regional Airport アメリカ モントローズ			
MTK	NGMN	M akin Island Airport (Butaritari Airport) キリバス			
MTL	YMND	M aitland Airport オーストラリア			
MTM	PAMM	M etlakatla Seaplane Base アメリカ			
MTN	KMTN	M artin State Airport アメリカ ボルチモア			
MTO	KMTO	Coles County M emorial Airport アメリカ			
MTP	KMTP	モントーク空港 M ontauk Airport アメリカ モントーク			
MTQ	YMIT	M itchell Airport (Australia) オーストラリア			
MTR	SKMR	Los Garzones Airport コロンビア			
MTS	FDMS	マツァパ国際空港 M atsapha Airport エスワティニ マンジニ			
MTT	MMMT	ミナーティットラン国際空港 M inatitlán International Airport メキシコ ミナーティットラン			
MTU		M ontepuez Airport モザンビーク			
MTV	NVSA	M ota Lava Airport バヌアツ			
MTW	KMTW	M anitowoc County Airport アメリカ			
MTX	PABK	M etro Field (FAA: M T F) アメリカ フェアバンクス			
MTY	MMMY	モンテレイ国際空港 M onterrey International Airport メキシコ モンテレイ			
MTZ	LLMZ	Bar Yehuda Airfield ( M asada Airfield) イスラエル			
MUA	AGGM	M unda Airport ソロモン諸島			
MUB	FBMN	M aun Airport ボツワナ			
MUC	EDDM	ミュンヘン国際空港 M unich Airport ドイツ ミュンヘン			
MUD	FQMD	M ueda Airport モザンビーク			
MUE	PHMU	ワイメア・コハラ空港 Waimea-Kohala Airport アメリカ カムエラ			
MUF		M uting Airport インドネシア			
MUG	MMMG	M ulegé Airport メキシコ			
MUH	HEMM	M ersa M atruh Airport エジプト			
MUI	KMUI	M uir Army Airfield アメリカ			
MUJ	HAMR	M ui Airport エチオピア			
MUK	NCMK	マウケ空港 M auke Airport クック諸島 マウケ			
MUL	KMUL	Spence Airport アメリカ			
MUM		M umias Airport ケニア			
MUN	SVMT	M aturín Airport ベネズエラ			
MUO	KMUO	M ountain Home Air Force Base アメリカ			
MUP	YMUP	M ulga Park Airport オーストラリア			
MUQ	YMUC	M uccan Station Airport オーストラリア			
MUR	WBGM	M arudi Airport マレーシア			
MUS	RJAM	M inami Torishima Airport 日本			
MUT	KMUT	M uscatine M unicipal Airport アメリカ			
MUW	DAOV	Ghriss Airport アルジェリア			
MUX	OPMT	ムルターン国際空港 M ultan International Airport パキスタン ムルターン			
MUY	FCBM	M ouyondzi Airport コンゴ民主共和国			
MUZ	HTMU	M usoma Airport タンザニア			
MVA	BIRL	Reykjahlid Airport (Reykjahlíð Airport) アイスランド			
MVB	FOON	Franceville/ M vengue Airport ガボン			
MVC	KMVC	M onroe County Airport アメリカ			
MVD	SUMU	カラスコ国際空港 Carrasco International Airport ウルグアイ モンテビデオ			
MVE	KMVE	M ontevideo-Chippewa County Airport アメリカ モンテビデオ			
MVF	SBMS	Dix-Sept Rosado Airport ブラジル			
MVG		M evang Airport ガボン			
MVJ		M arlboro Airport ジャマイカ			
MVK	YMUK	M ulka Airport オーストラリア			
MVL	KMVL	M orrisville-Stowe State Airport アメリカ			
MVM		Kayenta Airport (FAA: 0 V 7) アメリカ			
MVN	KMVN	M ount V ernon Airport アメリカ			
MVO	FTTM	M ongo Airport チャド			
MVP	SKMU	Fabio Alberto León Bentley Airport コロンビア			
MVQ	UMOO	M ogilev Airport ベラルーシ			
MVR	FKKL	Salak Airport カメルーン			
MVS	SNMU	M ucuri Airport ブラジル			
MVT	NTGV	M ataiva Airport フランス領ポリネシア			
MVU	YMGV	M usgrave Airport オーストラリア			
MVV	LFHM	M egeve Airport フランス			
MVW	KBVS	Skagit Regional Airport (FAA: B V S) アメリカ バーリントン			
MVX	FOGV	M invoul Airport ガボン			
MVY	KMVY	マーサズ・ヴィニヤード空港 M artha's V ineyard Airport アメリカ マーサズヴィニヤード			
MVZ	FVMV	M asvingo International Airport ジンバブエ			
MWA	KMWA	W illiamson County Regional Airport アメリカ			
MWB	YMRW	M orawa Airport オーストラリア			
MWC	KMWC	Lawrence J. Timmerman Airport アメリカ ミルウォーキー			
MWD	OPMI	PAF Base M ianwali パキスタン			
MWE	HSMR	M erowe Airport スーダン			
MWF	NVSN	M aewo-Naone Airport バヌアツ			
MWG		M arawaka Airport パプアニューギニア			
MWH	KMWH	Grant County International Airport アメリカ モーゼス・レイク			
